,platform_name,platform_version,platform_product,platform_manufacturer,platform_layout,platform_os,platform_description,date,label,s_movement,do_absolute,do_alpha,do_beta,do_gamma,acc_g_x,acc_g_y,acc_g_z,acc_x,acc_y,acc_z,rot_alpha,rot_beta,rot_gamma
0,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:49.264Z,camera,a,False,246.9,50.40000000000001,9.0,-1.0,7.800000000000002,5.6000000000000005,0.0,-0.2,0.6000000000000001,3.7000000000000006,0.30000000000000004,-5.300000000000002
1,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:49.466Z,camera,a,False,242.3,55.1,9.6,-1.2000000000000002,8.0,5.4,0.2,0.0,0.2,-29.300000000000004,-14.6,-8.600000000000001
2,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:49.667Z,camera,a,False,244.3,49.8,5.4,-0.2,7.5,6.300000000000002,-0.4,0.0,0.0,-8.600000000000001,-6.8,9.0
3,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:49.870Z,camera,a,False,245.3,48.1,5.2,-0.8,7.4,7.300000000000002,0.2,-0.1,-0.8,-10.5,2.0,2.0
4,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:50.070Z,camera,a,False,243.7,51.8,6.6000000000000005,-0.9,8.8,5.6000000000000005,0.2,-1.1,0.4,58.1,4.4,-8.5
5,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:50.270Z,camera,a,False,243.6,61.40000000000001,2.1,1.3,9.7,3.6,-1.5,-1.1,1.2000000000000002,51.2,-40.2,-1.9
6,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:50.473Z,camera,a,False,245.7,66.60000000000001,-5.7,-0.5,7.7,3.7,0.8,1.4,0.2,1.7,-2.2,19.9
7,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:50.674Z,camera,a,False,239.3,67.4,5.6000000000000005,0.2,8.8,4.4,-0.7000000000000001,0.30000000000000004,-0.6000000000000001,-18.5,28.4,-25.5
8,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:50.879Z,camera,a,False,227.3,69.2,14.4,-2.3000000000000003,7.4,4.0,1.5,1.7000000000000002,-0.5,-31.2,-59.40000000000001,-7.699999999999998
9,Chrome Mobile,86.0.4240.185,,,Blink,[object Object],Chrome Mobile 86.0.4240.185 on Android 11,2020-11-09T06:54:51.079Z,camera,a,False,239.4,67.60000000000001,-3.8,0.0,8.9,4.6000000000000005,0.30000000000000004,0.1,-0.9,-9.6,4.800000000000002,-0.5
